Register,Offset,Field,Bits,Access,Reset,Description,Side Effects,Verification Notes
CTRL,0x000,SOFT_RST,31,W1P,0,"Soft reset core; resets control logic, FSMs, counters, sticky status, and FIFO pointers",Self-clears after one cycle or after reset sequence is accepted,"Write 1 and confirm all writable regs return to reset; VERSION/CAPABILITIES remain unchanged"
CTRL,0x000,ABORT,30,W1P,0,"Abort active transfer immediately; deassert CS after programmed post-delay in master mode",Self-clears; sets STATUS.ABORTED and INT_STATUS.ABORT_DONE,"Start transfer then abort mid-word; confirm BUSY clears, abort flag sets, FIFO contents remain per design rule"
CTRL,0x000,START,29,W1P,0,"Start a transfer in master mode using TX FIFO contents and current configuration",Ignored if SPI_EN=0 or MASTER_EN=0; self-clears when accepted,"Pulse START and verify one transaction begins only once"
CTRL,0x000,SPI_EN,28,RW,0,"Global SPI block enable",Disables engine when 0; APB register access remains active,"Check no SCK/CS activity when 0; enable then transfer"
CTRL,0x000,MASTER_EN,27,RW,1,"1=master mode, 0=slave mode",Changes role only when idle; illegal mid-transfer change raises mode fault,"Attempt mode change while BUSY and confirm MODE_FAULT"
CTRL,0x000,LOOPBACK_EN,26,RW,0,"Internal loopback from MOSI to MISO for self-test,"If enabled, external MISO ignored in master mode,"Use loopback to verify a complete path without external slave"
CTRL,0x000,AUTO_CS,25,RW,1,"Auto-assert and auto-deassert CS around each frame","If 0, CS behavior is controlled by CS_CTRL/HOLD rules","Check CS asserts before first SCK edge and deasserts after completion"
CTRL,0x000,HOLD_CS,24,RW,0,"Keep CS asserted across successive frames when CONT_XFER=1","Prevents CS toggle between queued words,"Verify back-to-back frames do not deassert CS when enabled"
CTRL,0x000,LSB_FIRST,23,RW,0,"Shift LSB first when 1, MSB first when 0","Affects shift direction and bit counter sequence","Test both directions with known patterns"
CTRL,0x000,CPOL,22,RW,0,"Clock polarity","Defines idle level of SCK in master mode and sample/launch edge mapping,"Mode change while busy is illegal","Verify all four SPI modes by toggling CPOL/CPHA"
CTRL,0x000,CPHA,21,RW,0,"Clock phase","Defines which edge launches vs samples data,"Mode change while busy is illegal","Verify edge alignment against waveform expectations"
CTRL,0x000,CONT_XFER,20,RW,0,"Continue transfer across queued words without deasserting CS","Used with HOLD_CS and FIFO-backed streaming,"Check continuous streaming mode and gap behavior"
CTRL,0x000,WORD_LEN,19:15,RW,8,"Number of bits per frame, legal range 1 to 32","Used by shifter and bit counter; illegal 0 is rejected with ILLEGAL_CFG","Test 8, 16, 24, 32-bit frames; verify bit counter wraps correctly"
CTRL,0x000,IO_MODE,14:13,RW,0,"00=single, 01=dual, 10=quad, 11=reserved/implementation-defined","Only active if CAPABILITIES indicates support","If quad/dual not supported, attempt config and expect ILLEGAL_CFG"
CTRL,0x000,FRAME_GAP,12:8,RW,0,"Idle SCK cycles inserted between words in master streaming mode","Only meaningful when CONT_XFER=1","Verify gap timing by measuring SCK idle cycles"
CTRL,0x000,RESERVED,7:0,RW,0,"Reserved; must write 0 and ignore on read",None,"Write random values and confirm readback is 0"

STATUS,0x004,BUSY,31,RO,0,"Transfer engine active","High from accepted START until final post-delay completes","Start transaction and verify BUSY spans the whole frame"
STATUS,0x004,TX_ACTIVE,30,RO,0,"TX shifter is actively consuming TX data","May be high while BUSY is high,"Confirm TX_ACTIVE overlaps with shifting only"
STATUS,0x004,RX_ACTIVE,29,RO,0,"RX shifter is actively capturing data","May be high during slave receive or loopback receive","Check RX_ACTIVE during valid sampling edges"
STATUS,0x004,TX_EMPTY,28,RO,1,"TX FIFO empty,"Live flag from FIFO logic,"Push and pop data to observe flag transitions"
STATUS,0x004,TX_FULL,27,RO,0,"TX FIFO full,"Live flag from FIFO logic,"Fill FIFO to depth and verify flag"
STATUS,0x004,RX_EMPTY,26,RO,1,"RX FIFO empty,"Live flag from FIFO logic,"Read RXDATA when empty and ensure underflow path"
STATUS,0x004,RX_FULL,25,RO,0,"RX FIFO full,"Live flag from FIFO logic,"Fill RX FIFO and verify saturation behavior"
STATUS,0x004,CS_ACTIVE,24,RO,0,"At least one CS line is asserted,"Live flag from CS controller,"Verify CS assertion around every frame"
STATUS,0x004,DONE_STS,23,RO,0,"Transfer completion sticky summary","Cleared only by SOFT_RST or dedicated clear path if implemented","Confirm set after frame completion"
STATUS,0x004,IRQ_PENDING,22,RO,0,"Any enabled interrupt pending","Derived from INT_STATUS & INT_EN","Compare against IRQ pin"
STATUS,0x004,MODE_FAULT,21,RO,0,"Any sticky mode-fault condition present","Summary of MODE_FAULT register bits","Inject illegal config or contention and check set"
STATUS,0x004,TX_UNDERRUN,20,RO,0,"TX FIFO ran empty during required transmit window","Sticky until clear path","Force too-short TX supply and verify"
STATUS,0x004,RX_OVERRUN,19,RO,0,"RX FIFO overflowed because data was not drained fast enough","Sticky until clear path","Stop reading RX and confirm overflow"
STATUS,0x004,ILLEGAL_CFG,18,RO,0,"Illegal configuration detected","Sticky until clear path","Program illegal word length or role change"
STATUS,0x004,ABORTED,17,RO,0,"Current transaction was aborted","Sticky until clear path","Issue ABORT during transfer and verify"
STATUS,0x004,RESERVED,16,RO,0,"Reserved",None,"Read as 0"
STATUS,0x004,TX_LEVEL,15:8,RO,0,"TX FIFO occupancy level","Number of valid entries in TX FIFO","Check count matches push/pop sequence"
STATUS,0x004,RX_LEVEL,7:0,RO,0,"RX FIFO occupancy level","Number of valid entries in RX FIFO","Check count matches received frames"

CLKDIV,0x008,DIV,15:0,RW,0,"SCLK half-period divider in PCLK cycles minus 1","Master mode only; SCK toggles every DIV+1 PCLK cycles","Verify SCK frequency equals PCLK/(2*(DIV+1))"
CLKDIV,0x008,RESERVED,31:16,RW,0,"Reserved",None,"Must read back 0"

CS_CTRL,0x00C,CS_SEL,3:0,RW,0,"Selected chip-select line","Only active in master mode; selects which CS output is used","Try all CS lines and verify correct pin toggles"
CS_CTRL,0x00C,RESERVED,11:4,RW,0,"Reserved",None,"Must read back 0"
CS_CTRL,0x00C,CS_POL,15:12,RW,0,"Per-line CS polarity: 0=active-low, 1=active-high","Used by CS controller to drive line polarity,"Check each CS polarity setting against output level"
CS_CTRL,0x00C,CS_PRE_DELAY,23:20,RW,0,"Delay from CS assertion to first SCK edge, in PCLK cycles","Applied only in master mode","Measure CS-to-SCK setup timing"
CS_CTRL,0x00C,CS_POST_DELAY,27:24,RW,0,"Delay from last SCK edge to CS deassertion, in PCLK cycles","Applied only in master mode","Measure last-edge-to-CS-release timing"
CS_CTRL,0x00C,RESERVED_TOP,31:28,RW,0,"Reserved",None,"Must read back 0"

INT_EN,0x010,GLOBAL_EN,31,RW,0,"Global interrupt enable for SPI block","Masks IRQ output when 0","Disable global and confirm no IRQ output"
INT_EN,0x010,TX_WM,0,RW,0,"Interrupt when TX level reaches watermark","Uses FIFO_CTRL.TX_WM threshold","Fill/empty FIFO and verify assert point"
INT_EN,0x010,RX_WM,1,RW,0,"Interrupt when RX level reaches watermark","Uses FIFO_CTRL.RX_WM threshold","Drive receive data and verify assert point"
INT_EN,0x010,TX_EMPTY,2,RW,0,"Interrupt when TX FIFO becomes empty","Useful for refill service","Verify assertion once FIFO drains"
INT_EN,0x010,RX_FULL,3,RW,0,"Interrupt when RX FIFO becomes full","Useful for service by DMA or CPU","Fill RX FIFO and verify IRQ"
INT_EN,0x010,DONE,4,RW,0,"Interrupt when transfer completes","Generated at end of frame/sequence","Single transfer should raise DONE exactly once"
INT_EN,0x010,MODE_FAULT,5,RW,0,"Interrupt on mode-fault event","Includes illegal role/mode change and contention","Inject fault and verify IRQ"
INT_EN,0x010,TX_UNDERRUN,6,RW,0,"Interrupt on TX underrun","Sticky until cleared","Starve TX FIFO mid-frame"
INT_EN,0x010,RX_OVERRUN,7,RW,0,"Interrupt on RX overrun","Sticky until cleared","Overfill RX FIFO"
INT_EN,0x010,ILLEGAL_CFG,8,RW,0,"Interrupt on illegal configuration","e.g. invalid word length or mode combination","Write invalid config and verify interrupt"
INT_EN,0x010,ABORT_DONE,9,RW,0,"Interrupt when ABORT completes","Generated after abort sequence finishes","Abort active transfer and verify IRQ"
INT_EN,0x010,DMA_TX,10,RW,0,"Interrupt / request associated with TX DMA service","Only if DMA implemented","Check with DMA flow enabled"
INT_EN,0x010,DMA_RX,11,RW,0,"Interrupt / request associated with RX DMA service","Only if DMA implemented","Check with DMA flow enabled"
INT_EN,0x010,RESERVED,30:12,RW,0,"Reserved",None,"Read as 0"

INT_STATUS,0x014,GLOBAL_EN,31,RO,0,"Mirror of global interrupt enable or reserved depending implementation","If mirrored, software can compare enable state","Readback should match INT_EN.GLOBAL_EN if mirrored"
INT_STATUS,0x014,TX_WM,0,W1C,0,"TX watermark interrupt pending","Write 1 to clear","Set condition, clear with W1C, confirm deassert"
INT_STATUS,0x014,RX_WM,1,W1C,0,"RX watermark interrupt pending","Write 1 to clear","Same as above"
INT_STATUS,0x014,TX_EMPTY,2,W1C,0,"TX empty interrupt pending","Write 1 to clear","Drain FIFO and clear"
INT_STATUS,0x014,RX_FULL,3,W1C,0,"RX full interrupt pending","Write 1 to clear","Fill FIFO and clear"
INT_STATUS,0x014,DONE,4,W1C,0,"Transfer complete interrupt pending","Write 1 to clear","One transfer should produce one sticky pending bit"
INT_STATUS,0x014,MODE_FAULT,5,W1C,0,"Mode-fault interrupt pending","Write 1 to clear","Inject fault, clear, ensure no reassert without cause"
INT_STATUS,0x014,TX_UNDERRUN,6,W1C,0,"TX underrun interrupt pending","Write 1 to clear","Force starvation"
